Query,RetrievedDocuments
40001.query,VOM19980302.0700.1233 VOM19980319.0900.2928 VOM19980604.0730.0077 VOM19980604.0700.0157 VOM19980403.0900.2613 VOM19980604.0700.0126 VOM19980305.0900.0413 VOM19980226.0900.3443 VOM19980630.0700.0238 VOM19980630.0730.0191 VOM19980630.0900.0105 VOM19980226.0900.1806 VOM19980531.0730.0076 VOM19980524.0730.0031 VOM19980315.0700.1383 VOM19980524.0700.0192 VOM19980223.0900.2973 VOM19980225.0900.1428 VOM19980228.0700.2757 VOM19980531.0700.0235 VOM19980221.0700.2442 VOM19980228.0700.2616 VOM19980319.0900.2782 VOM19980220.0900.2583 VOM19980510.0730.0142 VOM19980521.0900.0177 VOM19980225.0900.0458 VOM19980304.0900.0509 VOM19980305.0900.1736 VOM19980325.0900.0676 VOM19980302.0700.0779 VOM19980315.0700.1148 VOM19980403.0900.2349 VOM19980305.0900.0814 VOM19980303.0900.2050 VOM19980225.0900.2154 VOM19980316.0900.0416 VOM19980228.0700.0851 VOM19980226.0900.0471 VOM19980403.0700.0727 VOM19980628.0730.0026 VOM19980609.0700.0492 VOM19980319.0900.2504 VOM19980617.0700.0304 VOM19980617.0730.0112 VOM19980224.0700.2219 VOM19980630.0700.0187 VOM19980617.0900.0007 VOM19980316.0900.1194 VOM19980503.0730.0168 VOM19980226.0900.2027 VOM19980227.0900.0912 VOM19980325.0900.0356 VOM19980220.0900.0859 VOM19980403.0900.0987 VOM19980526.0700.0275 VOM19980224.0900.0912 VOM19980303.0900.2177 VOM19980303.0900.2332 VOM19980625.0730.0189 VOM19980319.0900.0647 VOM19980304.0900.0903 VOM19980503.0700.0300 VOM19980225.0900.0332 VOM19980624.0700.0044 VOM19980403.0900.1341 VOM19980224.0900.1247 VOM19980326.0900.0576 VOM19980317.0900.0757 VOM19980327.0900.0425 VOM19980314.0700.0818 VOM19980225.0700.2209 VOM19980304.0900.0431 VOM19980314.0700.0478 VOM19980227.0900.3538 VOM19980223.0700.1993 VOM19980604.0900.0246 VOM19980317.0900.1561 VOM19980527.0730.0189 VOM19980228.0700.1944 VOM19980224.0900.3022 VOM19980228.0700.0327 VOM19980527.0900.0116 VOM19980521.0700.0319 VOM19980531.0730.0040 VOM19980311.0700.0471 VOM19980604.0700.0197 VOM19980604.0730.0037 VOM19980604.0900.0044 VOM19980301.0700.0447 VOM19980624.0900.0261 VOM19980305.0900.0492 VOM19980603.0700.0103 VOM19980325.0900.0905 VOM19980302.0700.2222 VOM19980227.0900.3501 VOM19980223.0900.2288 VOM19980403.0900.0619 VOM19980316.0900.0475 VOM19980226.0900.2900 
40002.query,VOM19980302.0700.1233 VOM19980319.0900.2928 VOM19980604.0730.0077 VOM19980604.0700.0157 VOM19980529.0700.0334 VOM19980403.0900.2613 VOM19980529.0900.0148 VOM19980529.0730.0148 VOM19980604.0700.0126 VOM19980305.0900.0413 VOM19980226.0900.3443 VOM19980507.0700.0521 VOM19980524.0700.0192 VOM19980226.0900.1806 VOM19980531.0730.0076 VOM19980630.0700.0238 VOM19980630.0730.0191 VOM19980630.0900.0105 VOM19980315.0700.1383 VOM19980524.0730.0031 VOM19980223.0900.2973 VOM19980225.0900.1428 VOM19980228.0700.2757 VOM19980228.0700.2616 VOM19980531.0700.0235 VOM19980221.0700.2442 VOM19980511.0900.0004 VOM19980511.0700.0039 VOM19980511.0730.0003 VOM19980319.0900.2782 VOM19980220.0900.2583 VOM19980521.0900.0177 VOM19980510.0730.0142 VOM19980305.0900.1736 VOM19980225.0900.0458 VOM19980304.0900.0509 VOM19980302.0700.0779 VOM19980325.0900.0676 VOM19980403.0900.2349 VOM19980305.0900.0814 VOM19980315.0700.1148 VOM19980303.0900.2050 VOM19980225.0900.2154 VOM19980228.0700.0851 VOM19980226.0900.2027 VOM19980224.0700.2219 VOM19980316.0900.1194 VOM19980316.0900.0416 VOM19980403.0700.0727 VOM19980227.0900.0912 VOM19980226.0900.0471 VOM19980628.0730.0026 VOM19980222.0700.0758 VOM19980617.0700.0304 VOM19980617.0730.0112 VOM19980220.0900.0859 VOM19980617.0900.0007 VOM19980609.0700.0492 VOM19980325.0900.0356 VOM19980303.0900.2177 VOM19980224.0900.0912 VOM19980319.0900.2504 VOM19980630.0700.0187 VOM19980319.0900.0647 VOM19980403.0900.0987 VOM19980303.0900.2332 VOM19980317.0900.0757 VOM19980624.0700.0044 VOM19980403.0900.1341 VOM19980503.0730.0168 VOM19980225.0700.2209 VOM19980304.0900.0903 VOM19980314.0700.0818 VOM19980224.0900.1247 VOM19980526.0700.0275 VOM19980326.0900.0576 VOM19980225.0900.0332 VOM19980317.0900.1561 VOM19980316.0900.0475 VOM19980327.0900.0425 VOM19980301.0700.0447 VOM19980625.0730.0189 VOM19980223.0700.1993 VOM19980503.0700.0300 VOM19980314.0700.0478 VOM19980604.0900.0246 VOM19980305.0900.0492 VOM19980325.0900.0905 VOM19980224.0900.3022 VOM19980302.0900.2091 VOM19980223.0900.2288 VOM19980220.0900.0496 VOM19980227.0900.3538 VOM19980624.0900.0261 VOM19980311.0700.0471 VOM19980521.0700.0319 VOM19980527.0730.0189 VOM19980228.0700.1944 VOM19980319.0900.1421 VOM19980325.0900.2250 
40003.query,VOM19980302.0700.1233 VOM19980222.0700.0448 VOM19980319.0900.2928 VOM19980614.0700.0302 VOM19980620.0730.0003 VOM19980604.0730.0077 VOM19980620.0700.0040 VOM19980223.0700.2728 VOM19980220.0700.1159 VOM19980312.0900.2408 VOM19980222.0700.0302 VOM19980404.0700.0406 VOM19980614.0730.0231 VOM19980621.0700.0052 VOM19980621.0730.0001 VOM19980225.0900.2949 VOM19980604.0700.0157 VOM19980404.0700.1061 VOM19980403.0900.2613 VOM19980602.0900.0193 VOM19980604.0700.0126 VOM19980529.0700.0334 VOM19980404.0700.0676 VOM19980619.0700.0040 VOM19980316.0900.2774 VOM19980220.0700.1055 VOM19980403.0700.1169 VOM19980509.0730.0002 VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980223.0900.2973 VOM19980510.0700.0568 VOM19980303.0700.0590 VOM19980305.0900.0413 VOM19980619.0900.0076 VOM19980529.0900.0148 VOM19980228.0700.0268 VOM19980531.0730.0076 VOM19980529.0730.0148 VOM19980225.0900.1428 VOM19980226.0900.2027 VOM19980315.0700.1383 VOM19980524.0700.0192 VOM19980226.0900.3443 VOM19980220.0900.2019 VOM19980228.0700.2616 VOM19980226.0900.1806 VOM19980619.0730.0076 VOM19980630.0700.0238 VOM19980630.0730.0191 VOM19980630.0900.0105 VOM19980222.0700.1986 VOM19980531.0700.0235 VOM19980618.0700.0187 VOM19980610.0730.0260 VOM19980327.0900.1545 VOM19980220.0900.2583 VOM19980228.0700.2757 VOM19980325.0900.2916 VOM19980524.0730.0031 VOM19980507.0700.0521 VOM19980403.0900.0431 VOM19980509.0700.0043 VOM19980312.0900.2127 VOM19980403.0700.0185 VOM19980511.0900.0039 VOM19980630.0730.0136 VOM19980319.0700.0352 VOM19980303.0700.1291 VOM19980403.0900.3074 VOM19980403.0900.2079 VOM19980515.0700.0434 VOM19980403.0900.0619 VOM19980302.0900.0510 VOM19980221.0700.2442 VOM19980515.0900.0164 VOM19980301.0700.0136 VOM19980319.0700.2536 VOM19980504.0700.0222 VOM19980221.0700.2690 VOM19980515.0730.0248 VOM19980612.0900.0168 VOM19980403.0900.0173 VOM19980612.0700.0257 VOM19980612.0730.0117 VOM19980403.0900.2349 VOM19980403.0900.0124 VOM19980403.0700.0129 VOM19980302.0700.2840 VOM19980505.0700.0344 VOM19980505.0730.0186 VOM19980303.0700.0324 VOM19980403.0900.2034 VOM19980304.0900.0509 VOM19980225.0900.0458 VOM19980403.0700.0727 VOM19980403.0700.0259 VOM19980530.0700.0260 VOM19980224.0700.2219 VOM19980220.0700.2956 
40004.query,VOM19980302.0700.1233 VOM19980222.0700.0448 VOM19980319.0900.2928 VOM19980614.0700.0302 VOM19980604.0730.0077 VOM19980620.0730.0003 VOM19980223.0700.2728 VOM19980620.0700.0040 VOM19980220.0700.1159 VOM19980312.0900.2408 VOM19980630.0900.0005 VOM19980222.0700.0302 VOM19980630.0730.0002 VOM19980404.0700.0406 VOM19980403.0900.2613 VOM19980604.0700.0157 VOM19980614.0730.0231 VOM19980621.0700.0052 VOM19980621.0730.0001 VOM19980630.0700.0032 VOM19980225.0900.2949 VOM19980404.0700.1061 VOM19980604.0700.0126 VOM19980404.0700.0676 VOM19980602.0900.0193 VOM19980529.0700.0334 VOM19980316.0900.2774 VOM19980619.0700.0040 VOM19980403.0700.1169 VOM19980509.0730.0002 VOM19980220.0700.1055 VOM19980226.0900.2027 VOM19980223.0900.2973 VOM19980630.0700.0238 VOM19980630.0730.0191 VOM19980630.0900.0105 VOM19980305.0900.0413 VOM19980531.0730.0076 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980228.0700.0268 VOM19980510.0700.0568 VOM19980619.0900.0076 VOM19980220.0900.2583 VOM19980303.0700.0590 VOM19980315.0700.1383 VOM19980225.0900.1428 VOM19980529.0900.0148 VOM19980529.0730.0148 VOM19980524.0700.0192 VOM19980618.0700.0187 VOM19980531.0700.0235 VOM19980228.0700.2616 VOM19980403.0900.2349 VOM19980619.0730.0076 VOM19980226.0900.3443 VOM19980220.0900.2019 VOM19980403.0900.0431 VOM19980327.0900.1545 VOM19980511.0900.0039 VOM19980226.0900.1806 VOM19980222.0700.1986 VOM19980228.0700.2757 VOM19980610.0730.0260 VOM19980524.0730.0031 VOM19980509.0700.0043 VOM19980325.0900.2916 VOM19980507.0700.0521 VOM19980515.0700.0434 VOM19980312.0900.2127 VOM19980515.0900.0164 VOM19980303.0700.1291 VOM19980515.0730.0248 VOM19980302.0900.0510 VOM19980403.0700.0185 VOM19980403.0700.0727 VOM19980319.0700.2536 VOM19980630.0730.0136 VOM19980224.0700.2219 VOM19980221.0700.2442 VOM19980624.0700.0044 VOM19980403.0900.0619 VOM19980304.0900.0509 VOM19980221.0700.2690 VOM19980319.0700.0352 VOM19980403.0900.3074 VOM19980301.0700.0136 VOM19980403.0700.0129 VOM19980403.0900.0124 VOM19980403.0900.2079 VOM19980504.0700.0222 VOM19980403.0900.2034 VOM19980303.0700.0324 VOM19980302.0700.2840 VOM19980612.0700.0257 VOM19980511.0730.0066 VOM19980612.0900.0168 VOM19980612.0730.0117 VOM19980403.0900.0173 VOM19980403.0900.3300 
40005.query,VOM19980317.0700.2420 VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980222.0700.0448 VOM19980302.0700.1233 VOM19980403.0700.1169 VOM19980220.0700.1159 VOM19980404.0700.0676 VOM19980319.0900.2928 VOM19980225.0900.2949 VOM19980404.0700.0406 VOM19980404.0700.1061 VOM19980620.0730.0003 VOM19980223.0700.2728 VOM19980620.0700.0040 VOM19980312.0900.2408 VOM19980614.0700.0302 VOM19980327.0900.1545 VOM19980621.0700.0052 VOM19980621.0730.0001 VOM19980403.0900.0431 VOM19980226.0900.2027 VOM19980222.0700.0302 VOM19980630.0900.0005 VOM19980220.0900.2583 VOM19980630.0730.0002 VOM19980316.0900.2774 VOM19980316.0900.3018 VOM19980604.0730.0077 VOM19980403.0900.2613 VOM19980221.0700.2690 VOM19980326.0900.1939 VOM19980604.0700.0126 VOM19980223.0900.2973 VOM19980220.0700.1055 VOM19980511.0900.0039 VOM19980228.0700.2303 VOM19980228.0700.0636 VOM19980224.0700.2219 VOM19980604.0700.0157 VOM19980614.0730.0231 VOM19980226.0900.3196 VOM19980619.0700.0040 VOM19980403.0900.2349 VOM19980403.0700.0129 VOM19980228.0700.0268 VOM19980602.0900.0193 VOM19980403.0900.0124 VOM19980317.0900.2819 VOM19980403.0900.2034 VOM19980630.0700.0032 VOM19980403.0700.0727 VOM19980222.0700.1986 VOM19980403.0900.3074 VOM19980319.0700.2536 VOM19980303.0700.1291 VOM19980302.0900.2091 VOM19980303.0700.0590 VOM19980403.0900.0619 VOM19980220.0700.2208 VOM19980314.0700.0818 VOM19980511.0730.0066 VOM19980317.0700.0924 VOM19980304.0900.0509 VOM19980403.0900.3300 VOM19980509.0730.0002 VOM19980220.0900.2019 VOM19980312.0900.2795 VOM19980315.0700.1383 VOM19980306.0700.1456 VOM19980316.0900.0475 VOM19980428.0900.0080 VOM19980316.0900.1194 VOM19980515.0900.0164 VOM19980515.0700.0434 VOM19980403.0700.0185 VOM19980511.0700.0105 VOM19980403.0900.0173 VOM19980228.0700.2616 VOM19980314.0700.2300 VOM19980403.0900.2079 VOM19980314.0700.1261 VOM19980531.0730.0076 VOM19980325.0900.0676 VOM19980515.0730.0248 VOM19980529.0700.0334 VOM19980305.0700.0763 VOM19980225.0900.1428 VOM19980312.0900.2127 VOM19980302.0700.2840 VOM19980302.0700.0779 VOM19980312.0900.2622 VOM19980521.0700.0039 VOM19980223.0900.1900 VOM19980531.0700.0235 VOM19980305.0900.0492 VOM19980223.0900.3502 VOM19980623.0700.0314 VOM19980325.0900.2250 VOM19980618.0730.0119 
40006.query,VOM19980317.0700.2420 VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980222.0700.0448 VOM19980302.0700.1233 VOM19980319.0900.2928 VOM19980403.0700.1169 VOM19980220.0700.1159 VOM19980404.0700.0676 VOM19980225.0900.2949 VOM19980604.0730.0077 VOM19980404.0700.1061 VOM19980630.0700.0238 VOM19980630.0730.0191 VOM19980404.0700.0406 VOM19980630.0900.0105 VOM19980223.0700.2728 VOM19980620.0730.0003 VOM19980604.0700.0157 VOM19980312.0900.2408 VOM19980620.0700.0040 VOM19980403.0900.2613 VOM19980614.0700.0302 VOM19980327.0900.1545 VOM19980220.0900.2583 VOM19980226.0900.2027 VOM19980403.0900.0431 VOM19980621.0700.0052 VOM19980630.0900.0005 VOM19980621.0730.0001 VOM19980630.0730.0002 VOM19980222.0700.0302 VOM19980604.0700.0126 VOM19980316.0900.2774 VOM19980316.0900.3018 VOM19980223.0900.2973 VOM19980221.0700.2690 VOM19980531.0730.0076 VOM19980326.0900.1939 VOM19980403.0900.2349 VOM19980531.0700.0235 VOM19980224.0700.2219 VOM19980220.0700.1055 VOM19980228.0700.2303 VOM19980315.0700.1383 VOM19980511.0900.0039 VOM19980403.0700.0727 VOM19980228.0700.0636 VOM19980630.0700.0032 VOM19980226.0900.3196 VOM19980619.0700.0040 VOM19980614.0730.0231 VOM19980228.0700.2757 VOM19980403.0700.0129 VOM19980228.0700.0268 VOM19980305.0900.0413 VOM19980317.0900.2819 VOM19980228.0700.2616 VOM19980602.0900.0193 VOM19980304.0900.0509 VOM19980524.0700.0192 VOM19980403.0900.0124 VOM19980314.0700.0818 VOM19980403.0900.2034 VOM19980225.0900.1428 VOM19980403.0900.0619 VOM19980524.0730.0031 VOM19980317.0700.0924 VOM19980302.0900.2091 VOM19980222.0700.1986 VOM19980403.0900.3074 VOM19980303.0700.0590 VOM19980511.0730.0066 VOM19980303.0700.1291 VOM19980319.0700.2536 VOM19980624.0700.0044 VOM19980220.0700.2208 VOM19980314.0700.1261 VOM19980509.0730.0002 VOM19980220.0900.2019 VOM19980316.0900.1194 VOM19980403.0900.3300 VOM19980316.0900.0475 VOM19980221.0700.2442 VOM19980428.0900.0080 VOM19980312.0900.2795 VOM19980325.0900.0676 VOM19980618.0700.0187 VOM19980511.0700.0105 VOM19980515.0900.0164 VOM19980302.0700.0779 VOM19980515.0700.0434 VOM19980226.0900.3443 VOM19980306.0700.1456 VOM19980403.0900.0173 VOM19980305.0900.0492 VOM19980403.0700.0185 VOM19980521.0700.0039 VOM19980305.0700.0763 VOM19980314.0700.2300 
40007.query,VOM19980317.0700.2420 VOM19980302.0700.1233 VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980222.0700.0448 VOM19980403.0900.2613 VOM19980604.0730.0077 VOM19980604.0700.0157 VOM19980630.0700.0238 VOM19980630.0730.0191 VOM19980630.0900.0105 VOM19980319.0900.2928 VOM19980604.0700.0126 VOM19980403.0700.1169 VOM19980220.0900.2583 VOM19980404.0700.0676 VOM19980225.0900.2949 VOM19980220.0700.1159 VOM19980531.0730.0076 VOM19980404.0700.1061 VOM19980404.0700.0406 VOM19980223.0900.2973 VOM19980531.0700.0235 VOM19980223.0700.2728 VOM19980312.0900.2408 VOM19980403.0900.2349 VOM19980620.0730.0003 VOM19980630.0900.0005 VOM19980226.0900.2027 VOM19980630.0730.0002 VOM19980315.0700.1383 VOM19980620.0700.0040 VOM19980305.0900.0413 VOM19980524.0730.0031 VOM19980327.0900.1545 VOM19980403.0900.0431 VOM19980228.0700.2757 VOM19980614.0700.0302 VOM19980524.0700.0192 VOM19980621.0700.0052 VOM19980621.0730.0001 VOM19980222.0700.0302 VOM19980225.0900.1428 VOM19980226.0900.3443 VOM19980221.0700.2442 VOM19980624.0700.0044 VOM19980228.0700.2616 VOM19980316.0900.2774 VOM19980403.0700.0727 VOM19980226.0900.1806 VOM19980316.0900.3018 VOM19980630.0700.0032 VOM19980314.0700.1261 VOM19980221.0700.2690 VOM19980224.0700.2219 VOM19980314.0700.0818 VOM19980304.0900.0509 VOM19980317.0900.0152 VOM19980317.0900.1955 VOM19980228.0700.2303 VOM19980317.0700.0156 VOM19980326.0900.1939 VOM19980403.0900.0619 VOM19980317.0700.0924 VOM19980220.0700.1055 VOM19980511.0900.0039 VOM19980228.0700.0636 VOM19980317.0900.2819 VOM19980325.0900.0676 VOM19980618.0700.0187 VOM19980614.0730.0231 VOM19980226.0900.3196 VOM19980316.0900.1194 VOM19980602.0900.0193 VOM19980619.0700.0040 VOM19980302.0700.0779 VOM19980403.0900.0987 VOM19980225.0900.0458 VOM19980228.0700.0268 VOM19980403.0700.0129 VOM19980302.0900.2091 VOM19980510.0730.0142 VOM19980312.0900.0230 VOM19980319.0700.2536 VOM19980316.0900.0475 VOM19980220.0700.1448 VOM19980305.0900.0492 VOM19980303.0700.1291 VOM19980319.0700.1102 VOM19980403.0900.0124 VOM19980626.0700.0029 VOM19980403.0900.2034 VOM19980220.0700.2208 VOM19980623.0900.0051 VOM19980428.0900.0080 VOM19980314.0700.0478 VOM19980511.0730.0066 VOM19980312.0900.2795 VOM19980326.0900.0576 VOM19980403.0900.3074 
40008.query,VOM19980317.0700.2420 VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980222.0700.0448 VOM19980302.0700.1233 VOM19980403.0900.2613 VOM19980604.0730.0077 VOM19980315.0700.2184 VOM19980604.0700.0157 VOM19980630.0700.0238 VOM19980630.0730.0191 VOM19980630.0900.0105 VOM19980319.0900.2928 VOM19980630.0730.0136 VOM19980404.0700.0676 VOM19980403.0700.1169 VOM19980404.0700.1061 VOM19980220.0700.1159 VOM19980604.0700.0126 VOM19980225.0900.2949 VOM19980220.0900.2583 VOM19980312.0900.2408 VOM19980404.0700.0406 VOM19980223.0700.2728 VOM19980620.0730.0003 VOM19980531.0730.0076 VOM19980614.0700.0302 VOM19980620.0700.0040 VOM19980327.0900.1545 VOM19980226.0900.2027 VOM19980403.0900.2349 VOM19980223.0900.2973 VOM19980403.0900.0431 VOM19980531.0700.0235 VOM19980630.0900.0005 VOM19980630.0730.0002 VOM19980621.0700.0052 VOM19980621.0730.0001 VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980316.0900.3018 VOM19980403.0900.0124 VOM19980222.0700.0302 VOM19980315.0700.1383 VOM19980316.0900.3433 VOM19980228.0700.2757 VOM19980305.0900.0413 VOM19980624.0700.0044 VOM19980316.0900.2774 VOM19980524.0730.0031 VOM19980224.0700.0588 VOM19980314.0700.0275 VOM19980314.0700.1946 VOM19980524.0700.0192 VOM19980403.0700.0727 VOM19980314.0700.1261 VOM19980326.0900.1939 VOM19980225.0900.1428 VOM19980403.0900.3300 VOM19980221.0700.2690 VOM19980224.0700.2219 VOM19980317.0900.1955 VOM19980317.0900.0152 VOM19980521.0700.0039 VOM19980221.0700.2442 VOM19980226.0900.3443 VOM19980228.0700.2616 VOM19980630.0700.0032 VOM19980511.0900.0039 VOM19980317.0700.0156 VOM19980314.0700.0818 VOM19980228.0700.0268 VOM19980303.0700.1291 VOM19980220.0700.1055 VOM19980319.0700.2536 VOM19980226.0900.1806 VOM19980304.0900.0509 VOM19980614.0730.0231 VOM19980403.0900.3074 VOM19980602.0900.0193 VOM19980403.0900.0619 VOM19980619.0700.0040 VOM19980317.0700.0924 VOM19980228.0700.2303 VOM19980302.0700.2840 VOM19980325.0900.2916 VOM19980618.0700.0187 VOM19980317.0900.2819 VOM19980226.0900.3196 VOM19980220.0900.2019 VOM19980228.0700.0636 VOM19980623.0900.0051 VOM19980220.0700.2208 VOM19980312.0900.0230 VOM19980428.0900.0080 VOM19980303.0700.0324 VOM19980626.0700.0029 VOM19980325.0900.0676 VOM19980530.0730.0138 VOM19980403.0900.0987 
40009.query,VOM19980222.0700.0448 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980317.0700.2420 VOM19980220.0700.1159 VOM19980223.0700.2728 VOM19980404.0700.1061 VOM19980404.0700.0676 VOM19980620.0730.0003 VOM19980225.0900.2949 VOM19980312.0900.2408 VOM19980302.0700.1233 VOM19980403.0700.1169 VOM19980620.0700.0040 VOM19980404.0700.0406 VOM19980403.0900.2613 VOM19980222.0700.0302 VOM19980630.0730.0136 VOM19980621.0700.0052 VOM19980621.0730.0001 VOM19980315.0700.2184 VOM19980614.0700.0302 VOM19980604.0730.0077 VOM19980316.0900.2774 VOM19980327.0900.1545 VOM19980602.0900.0193 VOM19980403.0900.0431 VOM19980604.0700.0157 VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980403.0900.0124 VOM19980220.0700.1055 VOM19980228.0700.0268 VOM19980226.0900.2027 VOM19980511.0900.0039 VOM19980619.0700.0040 VOM19980630.0700.0238 VOM19980630.0730.0191 VOM19980319.0900.2928 VOM19980220.0900.2583 VOM19980630.0900.0105 VOM19980316.0900.3018 VOM19980403.0900.3300 VOM19980303.0700.1291 VOM19980509.0730.0002 VOM19980625.0730.0090 VOM19980604.0700.0126 VOM19980403.0900.3074 VOM19980221.0700.2690 VOM19980614.0730.0231 VOM19980220.0900.2019 VOM19980325.0900.2916 VOM19980222.0700.1986 VOM19980403.0900.2349 VOM19980319.0700.2536 VOM19980510.0700.0568 VOM19980319.0700.0352 VOM19980302.0700.2840 VOM19980301.0700.0136 VOM19980504.0700.0222 VOM19980326.0900.1939 VOM19980303.0700.0590 VOM19980303.0700.0324 VOM19980530.0700.0260 VOM19980302.0900.0510 VOM19980505.0700.0344 VOM19980505.0730.0186 VOM19980511.0730.0066 VOM19980316.0900.3433 VOM19980428.0900.0080 VOM19980403.0900.0619 VOM19980317.0900.2819 VOM19980530.0730.0138 VOM19980509.0700.0043 VOM19980220.0700.2208 VOM19980403.0700.0727 VOM19980515.0900.0164 VOM19980521.0700.0039 VOM19980515.0700.0434 VOM19980224.0700.0588 VOM19980403.0700.0259 VOM19980531.0730.0076 VOM19980515.0730.0248 VOM19980223.0900.2973 VOM19980224.0700.2219 VOM19980511.0700.0105 VOM19980226.0900.3196 VOM19980314.0700.1261 VOM19980624.0700.0044 VOM19980618.0700.0187 VOM19980531.0700.0235 VOM19980624.0700.0158 VOM19980326.0700.0480 VOM19980403.0700.0185 VOM19980314.0700.2300 VOM19980316.0700.2333 VOM19980625.0700.0205 VOM19980610.0730.0260 VOM19980314.0700.0275 VOM19980314.0700.1946 
40010.query,VOM19980222.0700.0448 VOM19980404.0700.0676 VOM19980404.0700.1061 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980403.0700.1169 VOM19980403.0900.2034 VOM19980403.0900.0124 VOM19980225.0900.2949 VOM19980403.0700.0129 VOM19980220.0700.1159 VOM19980403.0900.3300 VOM19980620.0730.0003 VOM19980403.0900.0431 VOM19980223.0700.2728 VOM19980620.0700.0040 VOM19980404.0700.0406 VOM19980312.0900.2408 VOM19980327.0900.1545 VOM19980316.0900.2774 VOM19980621.0700.0052 VOM19980621.0730.0001 VOM19980222.0700.0302 VOM19980315.0700.2184 VOM19980317.0700.2420 VOM19980511.0900.0039 VOM19980511.0730.0066 VOM19980630.0730.0136 VOM19980221.0700.2690 VOM19980226.0900.2027 VOM19980614.0700.0302 VOM19980515.0900.0164 VOM19980316.0900.3018 VOM19980511.0700.0105 VOM19980428.0900.0080 VOM19980515.0730.0248 VOM19980302.0700.1233 VOM19980403.0900.2613 VOM19980403.0700.0727 VOM19980515.0700.0434 VOM19980220.0900.2583 VOM19980619.0700.0040 VOM19980602.0900.0193 VOM19980228.0700.0268 VOM19980220.0700.1055 VOM19980509.0730.0002 VOM19980222.0700.1986 VOM19980625.0730.0090 VOM19980224.0700.0588 VOM19980220.0900.2019 VOM19980226.0900.3196 VOM19980604.0730.0077 VOM19980303.0700.1291 VOM19980403.0900.3074 VOM19980403.0900.0619 VOM19980509.0700.0043 VOM19980326.0900.1939 VOM19980317.0900.2819 VOM19980604.0700.0157 VOM19980403.0900.2349 VOM19980303.0700.0590 VOM19980521.0700.0039 VOM19980312.0900.2795 VOM19980604.0700.0126 VOM19980220.0700.2208 VOM19980614.0730.0231 VOM19980302.0900.0510 VOM19980314.0700.0275 VOM19980314.0700.1946 VOM19980314.0700.1261 VOM19980319.0700.2536 VOM19980530.0730.0138 VOM19980325.0900.2916 VOM19980316.0900.3433 VOM19980319.0900.2928 VOM19980530.0700.0260 VOM19980224.0700.2219 VOM19980302.0700.0653 VOM19980301.0700.0136 VOM19980302.0700.2840 VOM19980303.0700.0324 VOM19980317.0700.0924 VOM19980630.0700.0238 VOM19980630.0730.0191 VOM19980314.0700.0818 VOM19980305.0900.2335 VOM19980312.0900.2127 VOM19980403.0900.1729 VOM19980314.0700.2300 VOM19980630.0900.0105 VOM19980319.0700.0352 VOM19980504.0700.0222 VOM19980326.0700.0480 VOM19980430.0900.0001 VOM19980403.0700.0185 VOM19980223.0900.2973 VOM19980302.0700.3552 VOM19980610.0730.0260 VOM19980305.0700.0763 VOM19980623.0900.0051 
